"filename", "language", "JSON with Comments", "Markdown", "JSON", "YAML", "TypeScript", "PowerShell", "JavaScript", "TypeScript JSX", "PostCSS", "MS SQL", "comment", "blank", "total"
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\.eslintrc.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\.github\workflows\ci.yml", "YAML", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 11, 44
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\API_CONTRACTS.md", "Markdown", 0, 414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 502
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\BACKUP.md", "Markdown", 0, 474, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 634
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\COPILOT_INSTRUCTIONS.md", "Markdown", 0, 463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 573
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\DEPLOYMENT.md", "Markdown", 0, 373, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 499
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\DEVELOPMENT.md", "Markdown", 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 227
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\GETTING_STARTED.md", "Markdown", 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 350
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\GITHUB_COPILOT_TODO.md", "Markdown", 0, 855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 1010
"c:\Users\James\Documents\GitHub\scheduleright---NonProfit-Sheduling-Software\INSTRUCTIONS_NEXT_STEPS.md", "Markdown", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 128
